algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,recall/ap
kota-t2,DiskANN,msspacev-1B,10,1451.1867197104223,2681.414306180925,1000000.0,57428288.0,39573.327966686156,78.30474826033566,5475.296015827535,0.9058568699686178
kota-t2,DiskANN,msspacev-1B,10,1305.3203479806382,2940.7762586983217,1000000.0,57428288.0,43995.55104526099,87.67921953881839,6087.747373447946,0.9086164551780598
bbann,BBANN,msspacev-1B,10,1610.4208408102975,0.0,1000000.0,11878352.0,7375.930377318827,0.0,0.0,0.7577705007504434
bbann,BBANN,msspacev-1B,10,1820.4236647258076,0.0,1000000.0,11878352.0,6525.048113890081,0.0,0.0,0.747574703233729
bbann,BBANN,msspacev-1B,10,1755.869157475597,0.0,1000000.0,11878352.0,6764.941424836825,0.0,0.0,0.7542058943921408
bbann,BBANN,msspacev-1B,10,1936.7360372815363,0.0,1000000.0,11878352.0,6133.1806561893845,0.0,0.0,0.7458589166325555
bbann,BBANN,msspacev-1B,10,3912.993335161897,0.0,1000000.0,11878352.0,3035.617743905138,0.0,0.0,0.6773809523809524
bbann,BBANN,msspacev-1B,10,1821.776089651613,0.0,1000000.0,11878352.0,6520.20413895736,0.0,0.0,0.7500818665575113
bbann,BBANN,msspacev-1B,10,1518.3505425395547,0.0,1000000.0,11878352.0,7823.1947545739795,0.0,0.0,0.7602026197298404
bbann,BBANN,msspacev-1B,10,1702.433482388304,0.0,1000000.0,11878352.0,6977.2781861269195,0.0,0.0,0.7522240414790559
bbann,BBANN,msspacev-1B,10,1629.0401932767472,0.0,1000000.0,11878352.0,7291.626105373854,0.0,0.0,0.7563787692727522
bbann,BBANN,msspacev-1B,10,2070.9883234427366,0.0,1000000.0,11878352.0,5735.595833903039,0.0,0.0,0.7408104789193615
bbann,BBANN,ssnpp-1B,96237,1462.0503482699048,0.0,1000000.0,41172708.0,28160.937172048216,0.0,0.0,0.8863012589479978
bbann,BBANN,ssnpp-1B,96237,1671.0205269554601,0.0,1000000.0,41172708.0,24639.259264525735,0.0,0.0,0.8772537380208939
bbann,BBANN,ssnpp-1B,96237,1516.7019615432832,0.0,1000000.0,41172708.0,27146.208710711835,0.0,0.0,0.8857355212675846
bbann,BBANN,ssnpp-1B,96237,1587.3311664137136,0.0,1000000.0,41172708.0,25938.322683490336,0.0,0.0,0.8816703846185786
bbann,BBANN,ssnpp-1B,96237,1707.1922937796771,0.0,1000000.0,41172708.0,24117.2058648676,0.0,0.0,0.872364908070222
bbann,BBANN,ssnpp-1B,96237,1545.1303206752962,0.0,1000000.0,41172708.0,26646.75428931169,0.0,0.0,0.8824276426697005
bbann,BBANN,ssnpp-1B,96237,1455.0100602629188,0.0,1000000.0,41172708.0,28297.19815996333,0.0,0.0,0.8861660528326329
bbann,BBANN,ssnpp-1B,96237,1767.7956237172189,0.0,1000000.0,41172708.0,23290.42308263237,0.0,0.0,0.8772940922453454
bbann,BBANN,ssnpp-1B,96237,1380.1362515617418,0.0,1000000.0,41172708.0,29832.350214270202,0.0,0.0,0.8889190932833961
bbann,BBANN,ssnpp-1B,96237,1905.0949488596978,0.0,1000000.0,41172708.0,21611.892900479364,0.0,0.0,0.8731373476141441
