algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,recall/ap
faiss-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=64)",bigann-1B,10,13065.179117662818,73963.8242,1000000.0,44113876.0,3376.4463236759184,0,0,0.63163
faiss-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=512)",bigann-1B,10,4924.870059312555,145959.3607,1000000.0,44113876.0,8957.368513019752,0,0,0.65917
faiss-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=32)",bigann-1B,10,47717.366201397286,18742.6107,1000000.0,44113876.0,924.4826257554055,0,0,0.52952
faiss-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=8)",bigann-1B,10,37376.12592542426,37394.3431,1000000.0,44113876.0,1180.2688188716888,0,0,0.53306
faiss-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=32)",bigann-1B,10,70956.16397569327,9378.5992,1000000.0,44113876.0,621.7060439613342,0,0,0.45010000000000006
faiss-t1,"FaissIVFPQ(nprobe=4,quantizer_efSearch=8)",bigann-1B,10,163616.3058318705,4710.3657,1000000.0,44113876.0,269.6178463125229,0,0,0.33085
faiss-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=16)",bigann-1B,10,17915.158183567088,74007.5308,1000000.0,44113876.0,2462.3771416355135,0,0,0.59695
faiss-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=32)",bigann-1B,10,14259.128121252957,74057.656,1000000.0,44113876.0,3093.7288468745232,0,0,0.6228100000000001
faiss-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=16)",bigann-1B,10,57084.93252108206,18791.415,1000000.0,44113876.0,772.7761784374237,0,0,0.51447
faiss-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=64)",bigann-1B,10,3555.9139660055866,287253.2705,1000000.0,44113876.0,12405.777086208247,0,0,0.6652
faiss-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=64)",bigann-1B,10,26771.66902300703,37271.4283,1000000.0,44113876.0,1647.7820625262261,0,0,0.5928899999999999
faiss-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=512)",bigann-1B,10,2982.6040882892066,287485.4291,1000000.0,44113876.0,14790.389436267185,0,0,0.67394
faiss-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=8)",bigann-1B,10,111426.17289198237,9433.1903,1000000.0,44113876.0,395.9022809009552,0,0,0.40766
faiss-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=128)",bigann-1B,10,3463.316933451004,287782.7222,1000000.0,44113876.0,12737.464357916258,0,0,0.6720900000000001
faiss-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=32)",bigann-1B,10,6951.681525347601,145999.2835,1000000.0,44113876.0,6345.784949892997,0,0,0.6401399999999999
faiss-t1,"FaissIVFPQ(nprobe=2,quantizer_efSearch=4)",bigann-1B,10,281909.37075721525,2361.6295,1000000.0,44113876.0,156.48247478084565,0,0,0.20867
faiss-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=4)",bigann-1B,10,120544.33577527612,9447.9109,1000000.0,44113876.0,365.9556105750084,0,0,0.38978
faiss-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=256)",bigann-1B,10,5800.098348377833,145978.7075,1000000.0,44113876.0,7605.711722515487,0,0,0.65904
faiss-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=16)",bigann-1B,10,91207.68576728286,9403.3849,1000000.0,44113876.0,483.66402051420215,0,0,0.44177999999999995
buddy-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=512)",bigann-10M,10,8907.72907175193,42846.2685,1000000.0,2543940.0,285.5879404850006,0,0,0.76063
buddy-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=512)",bigann-10M,10,14743.58600311512,21929.822,1000000.0,2543940.0,172.54553942728043,0,0,0.7486200000000001
buddy-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=128)",bigann-10M,10,53436.95495135093,5714.774,1000000.0,2543940.0,47.60638030958175,0,0,0.6767299999999999
buddy-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=32)",bigann-10M,10,19174.714983080477,21926.9261,1000000.0,2543940.0,132.6715939321518,0,0,0.7359600000000001
buddy-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=32)",bigann-10M,10,158435.2536329056,1471.0393,1000000.0,2543940.0,16.056653690814972,0,0,0.51278
buddy-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=64)",bigann-10M,10,19626.000647601722,21957.8652,1000000.0,2543940.0,129.62090675926208,0,0,0.7457900000000001
buddy-t1,"FaissIVFPQ(nprobe=2,quantizer_efSearch=4)",bigann-10M,10,263061.4267257059,373.1039,1000000.0,2543940.0,9.670517003059388,0,0,0.25112999999999996
buddy-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=256)",bigann-10M,10,17430.612986153767,21931.4677,1000000.0,2543940.0,145.94667451000214,0,0,0.7486200000000001
buddy-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=256)",bigann-10M,10,28484.779337060398,11212.6218,1000000.0,2543940.0,89.30874871444702,0,0,0.7228100000000001
buddy-t1,"FaissIVFPQ(nprobe=4,quantizer_efSearch=8)",bigann-10M,10,229976.0938699419,743.3609,1000000.0,2543940.0,11.061758451461792,0,0,0.38699
buddy-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=64)",bigann-10M,10,56555.05695547118,5717.2785,1000000.0,2543940.0,44.981653930664066,0,0,0.6762699999999999
buddy-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=4)",bigann-10M,10,150950.2627222342,1478.1937,1000000.0,2543940.0,16.85283585548401,0,0,0.46466
buddy-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4,ht=112)",bigann-10M,10,293648.85111388046,186.9218,1000000.0,3001980.0,10.223026545524597,0,0,0.13227
buddy-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=8)",bigann-10M,10,62895.65985421381,5730.2326,1000000.0,2543940.0,40.446988009929655,0,0,0.62563
buddy-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=64)",bigann-10M,10,93360.2813515559,2903.1393,1000000.0,2543940.0,27.248632535934448,0,0,0.60784
buddy-t1,"FaissIVFPQ(nprobe=4,quantizer_efSearch=4)",bigann-10M,10,228490.2432912413,744.1178,1000000.0,2543940.0,11.13369202709198,0,0,0.33314
buddy-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=128)",bigann-10M,10,32105.031107627492,11214.3111,1000000.0,2543940.0,79.2380481262207,0,0,0.7228
