algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,recall/ap
puck-t1,"Puck(10,30,13000,200)",bigann-1B,10,13316.962974604672,0.0,1000000.0,59203172.0,4445.696223147869,0,0,0.67313
puck-t1,"Puck(10,90,200000,1400)",bigann-1B,10,1968.0655013316325,0.0,1000000.0,59203172.0,30081.91137944441,0,0,0.8204100000000001
puck-t1,"Puck(10,30,15000,100)",bigann-1B,10,12804.642308063349,0.0,1000000.0,59203172.0,4623.57093432579,0,0,0.6840900000000001
puck-t1,"Puck(10,30,20000,300)",bigann-1B,10,10852.417049324205,0.0,1000000.0,59203172.0,5455.298274192905,0,0,0.71468
puck-t1,"Puck(10,30,14000,200)",bigann-1B,10,12868.1618301041,0.0,1000000.0,59203172.0,4600.748170690442,0,0,0.68102
puck-t1,"Puck(10,30,19000,200)",bigann-1B,10,11340.787319139179,0.0,1000000.0,59203172.0,5220.375828765106,0,0,0.70963
puck-t1,"Puck(10,100,230000,1300)",bigann-1B,10,1747.4946580077096,0.0,1000000.0,59203172.0,33878.88582589236,0,0,0.82293
puck-t1,"Puck(10,30,11000,100)",bigann-1B,10,14649.744887979838,0.0,1000000.0,59203172.0,4041.2425235183714,0,0,0.65186
puck-t1,"Puck(10,20,13000,200)",bigann-1B,10,13535.60616499915,0.0,1000000.0,59203172.0,4373.884056488705,0,0,0.66459
puck-t1,"Puck(10,30,12000,100)",bigann-1B,10,14121.451165170958,0.0,1000000.0,59203172.0,4192.428335270405,0,0,0.66096
puck-t1,"Puck(10,30,13000,200)",deep-1B,10,13590.781231823972,0.0,1000000.0,59189092.0,4355.091218847942,0,0,0.66954
puck-t1,"Puck(10,20,12000,200)",deep-1B,10,13586.867368873882,0.0,1000000.0,59189092.0,4356.345756019974,0,0,0.65529
puck-t1,"Puck(10,30,20000,300)",deep-1B,10,11179.641200575521,0.0,1000000.0,59189092.0,5294.364187372398,0,0,0.72054
puck-t1,"Puck(10,30,14000,200)",deep-1B,10,13150.85673471653,0.0,1000000.0,59189092.0,4500.778405086612,0,0,0.67884
puck-t1,"Puck(10,30,21000,200)",deep-1B,10,10929.3267251398,0.0,1000000.0,59189092.0,5415.621061437607,0,0,0.72255
puck-t1,"Puck(10,100,200000,3000)",deep-1B,10,1972.4348460617719,0.0,1000000.0,59189092.0,30008.13543635111,0,0,0.8520899999999999
puck-t1,"Puck(10,90,140000,1100)",deep-1B,10,2925.5616406175236,0.0,1000000.0,59189092.0,20231.70224077263,0,0,0.84411
puck-t1,"Puck(10,30,15000,200)",deep-1B,10,12687.002512110612,0.0,1000000.0,59189092.0,4665.3330401329995,0,0,0.68691
puck-t1,"Puck(10,40,30000,200)",deep-1B,10,9219.125859861859,0.0,1000000.0,59189092.0,6420.249913031006,0,0,0.75726
puck-t1,"Puck(10,40,19000,200)",deep-1B,10,11567.9312968741,0.0,1000000.0,59189092.0,5116.653140565777,0,0,0.71462
puck-t1,"Puck(10,20,20000,2000)",text2image-1B,10,8421.55159395627,0.0,1000000.0,58235268.0,6915.028347245721,0,0,0.18284499999999998
