algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,recall_ap
diskann-t2,DiskANN,text2image-1B,10,1457.8724566605395,3013.08439,1000000.0,63315208.0,43429.867757452754,81.55023,5364.09677,0.48856599999999994
diskann-t2,DiskANN,text2image-1B,10,914.4361755062338,4670.800426,1000000.0,63315208.0,69239.61419718392,139.54099,8598.6207,0.624682
diskann-t2,DiskANN,text2image-1B,10,1045.430354947058,4129.117924,1000000.0,63315208.0,60563.77423937184,120.34428,7524.83375,0.591961
diskann-t2,DiskANN,text2image-1B,10,1635.2075510828674,2708.905032,1000000.0,63315208.0,38719.982645671735,71.2244,4787.73706,0.445655
diskann-t2,DiskANN,text2image-1B,10,1220.5572171436063,3579.15571,1000000.0,63315208.0,51874.018776581914,101.08537,6442.45018,0.549291
diskann-t2,DiskANN,text2image-1B,10,1894.4508375142227,2359.053622,1000000.0,63315208.0,33421.40463411453,59.52266,4142.3365,0.384879
diskann-t2,DiskANN,text2image-1B,10,1124.7346332174486,3855.13531,1000000.0,63315208.0,56293.46348025105,110.71917,6987.15655,0.572199
diskann-t2,DiskANN,text2image-1B,10,2539.716556204068,1743.5674879999997,1000000.0,63315208.0,24930.029237054976,41.91439,3098.64212,0.27174
diskann-t2,DiskANN,text2image-1B,10,974.5914358731181,4399.974894,1000000.0,63315208.0,64965.89819022686,129.91697,8059.96304,0.60926
diskann-t2,DiskANN,text2image-1B,10,1324.0044315642103,3299.955712,1000000.0,63315208.0,47820.99401676315,91.40535,5911.60549,0.521985
bbann,BBANN,text2image-1B,10,1608.3394385279835,0.0,1000000.0,29064836.0,18071.332023419945,0.0,0.0,0.484772
bbann,BBANN,text2image-1B,10,1540.622672933968,0.0,1000000.0,29064836.0,18865.64212679592,0.0,0.0,0.495423
bbann,BBANN,text2image-1B,10,2197.8065625321065,0.0,1000000.0,29064836.0,13224.474116827745,0.0,0.0,0.42842900000000006
bbann,BBANN,text2image-1B,10,1581.271710631964,0.0,1000000.0,29064836.0,18380.671585140848,0.0,0.0,0.49324500000000004
bbann,BBANN,text2image-1B,10,2314.605123985524,0.0,1000000.0,29064836.0,12557.146659190483,0.0,0.0,0.425323
bbann,BBANN,text2image-1B,10,1902.735310390915,0.0,1000000.0,29064836.0,15275.29123009162,0.0,0.0,0.45160600000000006
bbann,BBANN,text2image-1B,10,1685.0312317828493,0.0,1000000.0,29064836.0,17248.841120439007,0.0,0.0,0.471499
bbann,BBANN,text2image-1B,10,1555.2814633486682,0.0,1000000.0,29064836.0,18687.830264125092,0.0,0.0,0.487202
bbann,BBANN,text2image-1B,10,1592.557788590405,0.0,1000000.0,29064836.0,18250.412140915585,0.0,0.0,0.49080700000000005
bbann,BBANN,text2image-1B,10,1571.8388035067858,0.0,1000000.0,29064836.0,18490.97753227373,0.0,0.0,0.486085
diskann-t2,DiskANN,msspacev-1B,10,798.7933879642693,0.0,1000000.0,57416476.0,71879.00759460003,0.0,0.0,0.9160526674853322
diskann-t2,DiskANN,msspacev-1B,10,855.9340745921011,0.0,1000000.0,57416476.0,67080.48867824553,0.0,0.0,0.914753035884841
diskann-t2,DiskANN,msspacev-1B,10,1086.9213340917609,0.0,1000000.0,57416476.0,52824.868000201335,0.0,0.0,0.9097182425978987
diskann-t2,DiskANN,msspacev-1B,10,1479.3834165982341,0.0,1000000.0,57416476.0,38811.085318251186,0.0,0.0,0.9009551098376314
diskann-t2,DiskANN,msspacev-1B,10,1192.8660031312677,0.0,1000000.0,57416476.0,48133.215171932155,0.0,0.0,0.9076204120616728
